68,BOTTOMINFRARED,edgeLeft,654,lineLeft,669,lineCenter,783,lineRight,654,edgeRight,571
67,LIGHT,lightLeft,531,lightCneter,526,lightRight,433
68,MAGNETOMETER,x,66.24,y,-162.84,z,174.80
68,ACCELEROMETER,x,0.30,y,-0.51,z,-9.35
66,BOTTOMINFRARED,edgeLeft,658,lineLeft,668,lineCenter,784,lineRight,655,edgeRight,572
68,LIGHT,lightLeft,538,lightCneter,520,lightRight,428
67,MAGNETOMETER,x,65.32,y,-165.60,z,174.80
67,ACCELEROMETER,x,0.30,y,-0.54,z,-9.34
68,BOTTOMINFRARED,edgeLeft,656,lineLeft,671,lineCenter,783,lineRight,654,edgeRight,571
68,LIGHT,lightLeft,536,lightCneter,510,lightRight,423
67,MAGNETOMETER,x,61.64,y,-161.92,z,176.64
67,ACCELEROMETER,x,0.32,y,-0.49,z,-9.39
67,BOTTOMINFRARED,edgeLeft,653,lineLeft,669,lineCenter,785,lineRight,653,edgeRight,572
66,LIGHT,lightLeft,529,lightCneter,499,lightRight,421
67,MAGNETOMETER,x,66.24,y,-161.92,z,172.96
68,ACCELEROMETER,x,0.29,y,-0.50,z,-9.40
67,BOTTOMINFRARED,edgeLeft,660,lineLeft,669,lineCenter,783,lineRight,653,edgeRight,572
68,LIGHT,lightLeft,521,lightCneter,490,lightRight,420
68,MAGNETOMETER,x,67.16,y,-164.68,z,175.72
66,ACCELEROMETER,x,0.29,y,-0.51,z,-9.42
68,BOTTOMINFRARED,edgeLeft,653,lineLeft,670,lineCenter,784,lineRight,653,edgeRight,571
67,LIGHT,lightLeft,506,lightCneter,483,lightRight,418
67,MAGNETOMETER,x,67.16,y,-163.76,z,173.88
68,ACCELEROMETER,x,0.28,y,-0.48,z,-9.38
67,BOTTOMINFRARED,edgeLeft,650,lineLeft,669,lineCenter,784,lineRight,653,edgeRight,571
67,LIGHT,lightLeft,495,lightCneter,481,lightRight,422
67,MAGNETOMETER,x,67.16,y,-161.00,z,172.96
67,ACCELEROMETER,x,0.33,y,-0.46,z,-9.41
68,BOTTOMINFRARED,edgeLeft,656,lineLeft,669,lineCenter,783,lineRight,653,edgeRight,571
67,LIGHT,lightLeft,489,lightCneter,484,lightRight,427
68,MAGNETOMETER,x,64.40,y,-163.76,z,173.88
68,ACCELEROMETER,x,0.29,y,-0.52,z,-9.51
66,BOTTOMINFRARED,edgeLeft,660,lineLeft,670,lineCenter,783,lineRight,655,edgeRight,572
68,LIGHT,lightLeft,489,lightCneter,492,lightRight,433
67,MAGNETOMETER,x,66.24,y,-164.68,z,175.72
67,ACCELEROMETER,x,0.33,y,-0.47,z,-9.43
68,BOTTOMINFRARED,edgeLeft,654,lineLeft,670,lineCenter,785,lineRight,653,edgeRight,570
68,LIGHT,lightLeft,494,lightCneter,504,lightRight,438
67,MAGNETOMETER,x,66.24,y,-163.76,z,174.80
67,ACCELEROMETER,x,0.33,y,-0.49,z,-9.47
68,BOTTOMINFRARED,edgeLeft,653,lineLeft,669,lineCenter,784,lineRight,653,edgeRight,570
66,LIGHT,lightLeft,504,lightCneter,511,lightRight,442
67,MAGNETOMETER,x,68.08,y,-161.92,z,172.96
68,ACCELEROMETER,x,0.30,y,-0.44,z,-9.39
66,BOTTOMINFRARED,edgeLeft,658,lineLeft,670,lineCenter,783,lineRight,653,edgeRight,572
68,LIGHT,lightLeft,513,lightCneter,520,lightRight,443
68,MAGNETOMETER,x,66.24,y,-162.84,z,175.72
66,ACCELEROMETER,x,0.28,y,-0.45,z,-9.41
68,BOTTOMINFRARED,edgeLeft,654,lineLeft,669,lineCenter,783,lineRight,654,edgeRight,571
67,LIGHT,lightLeft,526,lightCneter,526,lightRight,439
67,MAGNETOMETER,x,65.32,y,-161.00,z,173.88
68,ACCELEROMETER,x,0.35,y,-0.50,z,-9.38
67,BOTTOMINFRARED,edgeLeft,658,lineLeft,669,lineCenter,783,lineRight,652,edgeRight,571
67,LIGHT,lightLeft,534,lightCneter,525,lightRight,435
67,MAGNETOMETER,x,66.24,y,-166.52,z,174.80
68,ACCELEROMETER,x,0.31,y,-0.47,z,-9.35
68,BOTTOMINFRARED,edgeLeft,656,lineLeft,670,lineCenter,784,lineRight,653,edgeRight,570
67,LIGHT,lightLeft,540,lightCneter,519,lightRight,429
68,MAGNETOMETER,x,66.24,y,-162.84,z,173.88
67,ACCELEROMETER,x,0.31,y,-0.52,z,-9.44
66,BOTTOMINFRARED,edgeLeft,660,lineLeft,669,lineCenter,785,lineRight,652,edgeRight,571
68,LIGHT,lightLeft,537,lightCneter,510,lightRight,423
67,MAGNETOMETER,x,64.40,y,-162.84,z,174.80
67,ACCELEROMETER,x,0.31,y,-0.47,z,-9.32
68,BOTTOMINFRARED,edgeLeft,655,lineLeft,670,lineCenter,784,lineRight,654,edgeRight,571
68,LIGHT,lightLeft,530,lightCneter,499,lightRight,419
67,MAGNETOMETER,x,67.16,y,-161.92,z,176.64
67,ACCELEROMETER,x,0.29,y,-0.45,z,-9.35
68,BOTTOMINFRARED,edgeLeft,650,lineLeft,668,lineCenter,783,lineRight,654,edgeRight,571
66,LIGHT,lightLeft,518,lightCneter,488,lightRight,413
68,MAGNETOMETER,x,66.24,y,-163.76,z,173.88
68,ACCELEROMETER,x,0.32,y,-0.52,z,-9.48
66,BOTTOMINFRARED,edgeLeft,657,lineLeft,671,lineCenter,784,lineRight,652,edgeRight,571
68,LIGHT,lightLeft,506,lightCneter,481,lightRight,412
67,MAGNETOMETER,x,65.32,y,-162.84,z,172.96
66,ACCELEROMETER,x,0.33,y,-0.50,z,-9.38
68,BOTTOMINFRARED,edgeLeft,655,lineLeft,669,lineCenter,783,lineRight,653,edgeRight,572
67,LIGHT,lightLeft,493,lightCneter,477,lightRight,416
67,MAGNETOMETER,x,66.24,y,-162.84,z,173.88
68,ACCELEROMETER,x,0.30,y,-0.48,z,-9.43
67,BOTTOMINFRARED,edgeLeft,650,lineLeft,669,lineCenter,784,lineRight,653,edgeRight,572
67,LIGHT,lightLeft,486,lightCneter,476,lightRight,423
67,MAGNETOMETER,x,66.24,y,-163.76,z,176.64
68,ACCELEROMETER,x,0.25,y,-0.50,z,-9.44
68,BOTTOMINFRARED,edgeLeft,656,lineLeft,670,lineCenter,784,lineRight,654,edgeRight,570
67,LIGHT,lightLeft,484,lightCneter,493,lightRight,431
68,MAGNETOMETER,x,64.40,y,-161.00,z,178.48
67,ACCELEROMETER,x,0.32,y,-0.51,z,-9.36
66,BOTTOMINFRARED,edgeLeft,652,lineLeft,669,lineCenter,783,lineRight,652,edgeRight,573
68,LIGHT,lightLeft,488,lightCneter,500,lightRight,434
66,MAGNETOMETER,x,64.40,y,-161.00,z,175.72
67,ACCELEROMETER,x,0.30,y,-0.48,z,-9.38
68,BOTTOMINFRARED,edgeLeft,650,lineLeft,669,lineCenter,783,lineRight,653,edgeRight,572
67,LIGHT,lightLeft,500,lightCneter,508,lightRight,439
68,MAGNETOMETER,x,65.32,y,-161.92,z,176.64
67,ACCELEROMETER,x,0.34,y,-0.51,z,-9.39
68,BOTTOMINFRARED,edgeLeft,656,lineLeft,669,lineCenter,785,lineRight,653,edgeRight,570
67,LIGHT,lightLeft,512,lightCneter,519,lightRight,438
68,MAGNETOMETER,x,67.16,y,-159.16,z,176.64
68,ACCELEROMETER,x,0.31,y,-0.56,z,-9.40
66,BOTTOMINFRARED,edgeLeft,648,lineLeft,669,lineCenter,784,lineRight,653,edgeRight,571
68,LIGHT,lightLeft,523,lightCneter,523,lightRight,435
67,MAGNETOMETER,x,65.32,y,-160.08,z,178.48
66,ACCELEROMETER,x,0.27,y,-0.41,z,-9.41
68,BOTTOMINFRARED,edgeLeft,656,lineLeft,670,lineCenter,783,lineRight,653,edgeRight,571
67,LIGHT,lightLeft,534,lightCneter,521,lightRight,431
67,MAGNETOMETER,x,67.16,y,-163.76,z,177.56
68,ACCELEROMETER,x,0.29,y,-0.48,z,-9.44
67,BOTTOMINFRARED,edgeLeft,649,lineLeft,670,lineCenter,783,lineRight,653,edgeRight,574
67,LIGHT,lightLeft,535,lightCneter,514,lightRight,426
67,MAGNETOMETER,x,66.24,y,-162.84,z,173.88
68,ACCELEROMETER,x,0.29,y,-0.51,z,-9.36
68,BOTTOMINFRARED,edgeLeft,656,lineLeft,668,lineCenter,783,lineRight,653,edgeRight,572
68,LIGHT,lightLeft,533,lightCneter,504,lightRight,421
68,MAGNETOMETER,x,64.40,y,-163.76,z,174.80
67,ACCELEROMETER,x,0.30,y,-0.48,z,-9.32
66,BOTTOMINFRARED,edgeLeft,655,lineLeft,668,lineCenter,783,lineRight,653,edgeRight,571
67,LIGHT,lightLeft,525,lightCneter,493,lightRight,419
67,MAGNETOMETER,x,64.40,y,-164.68,z,175.72
67,ACCELEROMETER,x,0.26,y,-0.40,z,-9.32
68,BOTTOMINFRARED,edgeLeft,656,lineLeft,670,lineCenter,785,lineRight,655,edgeRight,572
68,LIGHT,lightLeft,510,lightCneter,483,lightRight,416
67,MAGNETOMETER,x,65.32,y,-162.84,z,172.96
67,ACCELEROMETER,x,0.33,y,-0.45,z,-9.47
68,BOTTOMINFRARED,edgeLeft,659,lineLeft,669,lineCenter,784,lineRight,653,edgeRight,571
66,LIGHT,lightLeft,499,lightCneter,480,lightRight,417
68,MAGNETOMETER,x,64.40,y,-162.84,z,175.72
68,ACCELEROMETER,x,0.29,y,-0.47,z,-9.47
67,BOTTOMINFRARED,edgeLeft,654,lineLeft,670,lineCenter,784,lineRight,654,edgeRight,573
68,LIGHT,lightLeft,490,lightCneter,482,lightRight,424
67,MAGNETOMETER,x,67.16,y,-160.08,z,174.80
67,ACCELEROMETER,x,0.34,y,-0.46,z,-9.39
67,BOTTOMINFRARED,edgeLeft,659,lineLeft,670,lineCenter,784,lineRight,653,edgeRight,573
67,LIGHT,lightLeft,487,lightCneter,486,lightRight,428
67,MAGNETOMETER,x,67.16,y,-162.84,z,175.72
